NM_VOTAVEL;NR_ZONA;NM_LOCAL_VOTACAO;DS_LOCAL_VOTACAO_ENDERECO;NM_MUNICIPIO;QT_VOTOS_TOTAL;LATITUDE;LONGITUDE
AMANDA BRANDAO ARMELAU;120;CIEP BRIGADEIRO SERGIO CARVALHO;ESTRADA LAMEIRAO PEQUENO S/N;RIO DE JANEIRO;43;-229.165.677;-435.290.301
AMANDA BRANDAO ARMELAU;120;CIEP FRANCISCO CAVALCANTE PONTES DE MIRANDA;ESTRADA DA MORICABA S/N;RIO DE JANEIRO;30;-228.989.865;-4.353.509.460.000.000
AMANDA BRANDAO ARMELAU;120;CIEP LAMARTINE BABO;RUA CAMPO MAIOR S/N SANTA RITA DE CASSIA;RIO DE JANEIRO;34;-229.085.557;-435.410.717
AMANDA BRANDAO ARMELAU;120;COLEGIO ESTADUAL PROFESSORA JEANNETTE DE SOUSA COELHO MANNARINO;RUA OLINDA ELLIS, 63;RIO DE JANEIRO;12;-229.076.648;-4.356.014
AMANDA BRANDAO ARMELAU;120;EDUCANDÁRIO MONTEIRO LOBATO;ESTRADA DO IARAQUÃ, 585;RIO DE JANEIRO;40;-22.925.049;-43.560.404
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL ALFREDO CESARIO ALVIM;RUA LUIZA DE MARILLAC, 20;RIO DE JANEIRO;38;-229.231.417;-435.188.979
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL BELISARIO PENA;RUA REGINA S/N;RIO DE JANEIRO;18;-228.979.598;-435.415.523
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL DOM MEINRADO;RUA ALDEMAR TAVARES S/N JOARI;RIO DE JANEIRO;15;-229.105.137;-43.549.575
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL HENRIQUE DIAS;RUA SAO DOMICIANO,S/N - VILA SAO JOAO;RIO DE JANEIRO;12;-229.057.428;-435.495.849
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL JESUS SOARES PEREIRA;RUA DA CONSOLACAO 138 MOINHO;RIO DE JANEIRO;44;-229.194.493;-435.474.147
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL JOAO PROENCA;RUA COSTA NUNES S/N;RIO DE JANEIRO;38;-229.173.809;-435.585.775
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL PRESIDENTE NEREU RAMOS;ESTRADA DOS CABOCLOS, 343;RIO DE JANEIRO;9;-229.311.903;-43.548.272
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL PROF. MAFALDA TEIXEIRA DE ALVARENGA;RUA JOSE FRANCISCO DE SOUSA PORTO S/N - ARNALDO EUGENIO;RIO DE JANEIRO;30;-229.092.787;-435.355.693
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL PROFESSOR GILBERTO BENTO DA SILVA;RUA FRANCISCO MOTA 850 CONJ. MARINHA;RIO DE JANEIRO;39;-229.073.892;-435.432.993
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL PROFESSOR GONCALVES;ESTRADA DO CABUCU, 1615;RIO DE JANEIRO;27;-229.132.853;-43.543.253
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL PROFESSORA MARITA DE VASCONCELOS;RUA XAVIER MARQUES S/N;RIO DE JANEIRO;11;-229.007.856;-435.505.012
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL PUGILISTA  VIRGOLINO ISAÍAS DE OLIVEIRA;RUA ACREUNA,S/N - JOARI;RIO DE JANEIRO;1;-229.103.733;-4.355.171.929.999.990
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL ROSARIA TROTTA;PRACA ROSARIA TROTA, S/N;RIO DE JANEIRO;15;-229.015.014;-435.490.157
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL RUBENS DE FARIAS NEVES;RUA YARA BELTRAMI, S/N;RIO DE JANEIRO;27;-229.150.852;-4.353.223.440.000.000
AMANDA BRANDAO ARMELAU;120;ESCOLA MUNICIPAL SÔNIA MARIA MALTEZ;RUA DA CONSOLAÇÃO;RIO DE JANEIRO;13;-229.196.288;-435.477.132
AMANDA BRANDAO ARMELAU;120;ESCOLA UBALDINA DIAS JACARE;RUA SAO DOMICIANO S/N -VILA SAO JOAO;RIO DE JANEIRO;13;-229.052.979;-435.491.588
AMANDA BRANDAO ARMELAU;120;SANTA MONICA - CENTRO EDUCACIONAL;ESTRADA DA CACHAMORRA, 132 A;RIO DE JANEIRO;83;-229.192.206;-4.355.168.219.999.990
AMANDA BRANDAO ARMELAU;122;CIEP ERNESTO CHE GUEVARA;RUA TIMBAÚBA S/N - PEDRANGULAR;RIO DE JANEIRO;45;-228.868.278;-4.355.660.750.000.000
AMANDA BRANDAO ARMELAU;122;CIEP OLYMPIO MARQUES DOS SANTOS;ESTRADA DA POSSE 1000;RIO DE JANEIRO;83;-228.782.053;-435.348.168
AMANDA BRANDAO ARMELAU;122;COLÉGIO GUNNAR VINGREN;ESTRADA DO LAMEIRÃO, 673;RIO DE JANEIRO;40;-22.877.225;-4.352.519.410.000.000
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL ALCIDES CARNEIRO;AV. PAULO AFONSO S/N;RIO DE JANEIRO;30;-229.068.467;-431.728.965
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL ALMIRANTE FRONTIN;R. NOVA ALIANÇA, S/N;RIO DE JANEIRO;13;-228.874.278;-43.558.112
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL ALZIRA ARAÚJO;RUA ARI LOBO 430 BAIRRO ADRIANA;RIO DE JANEIRO;39;-228.866.618;-435.486.513
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL BALTAZAR LISBOA;AV MARECHAL DANTAS BARRETO 126;RIO DE JANEIRO;51;-2.288.466;-435.606.331
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL CASIMIRO DE ABREU;ESTRADA DO MENDANHA 4842;RIO DE JANEIRO;47;-228.572.325;-43.540.966
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL CHARLES DICKENS;RUA PRIMEIRA CRUZ S/N;RIO DE JANEIRO;21;-228.943.087;-4.355.791.019.999.990
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL CONSTANTINO MAGALHÃES;RUA DO PAULISTANO, S/N, MENDANHA;RIO DE JANEIRO;27;-228.516.954;-435.425.295
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL CORA CORALINA;RUA VOTORANTIM S/N MENDANHA;RIO DE JANEIRO;29;-228.588.504;-43.537.022
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL ERNESTO NAZARETH;RUA BASTOS TIGRE S/N;RIO DE JANEIRO;61;-228.767.416;-435.306.465
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL EUSTÓRGIO WANDERLEY;RUA TRONCO DO IPE, S/N;RIO DE JANEIRO;11;-228.969.634;-435.493.813
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL HELTON ÁLVARES VELOSO DE CASTRO;RUA PROJETADA A S/N, VILA ROMANA;RIO DE JANEIRO;30;-228.758.008;-435.150.096
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL MANOEL SAID ALI;ESTRADA GUANDU SAPÊ S/N;RIO DE JANEIRO;24;-228.757.728;-435.602.685
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL PROFESSOR FÁBIO CÉSAR PACÍFICO;RUA DO PAVÃO, S/N, MENDANHA;RIO DE JANEIRO;35;-228.549.201;-435.315.061
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL RIO GRANDE DO NORTE;RUA MORIZOT LEITE S/N;RIO DE JANEIRO;5;-22.896.205;-43.542.321
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL SAMUEL WAINER;RUA ALEXANDRE AMARAL, 501;RIO DE JANEIRO;21;-228.673.307;-4.351.306.659.999.990
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL TEODORO SAMPAIO;RUA GENERAL UCHOA CAVALCANTE, 135;RIO DE JANEIRO;20;-228.938.218;-435.445.842
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL TÓQUIO;RUA ERASMO 61;RIO DE JANEIRO;29;-228.689.679;-4.355.572.069.999.990
AMANDA BRANDAO ARMELAU;122;ESCOLA MUNICIPAL VISCONDE DO RIO BRANCO;ESTRADA DA POSSE 800;RIO DE JANEIRO;31;-228.845.326;-435.513.152
AMANDA BRANDAO ARMELAU;122;FUNDAÇÃO EDUCACIONAL UNIFICADA CAMPOGRANDENSE - FEUC;ESTRADA DA CAROBA, 685;RIO DE JANEIRO;48;-228.988.927;-4.355.404.799.999.990
AMANDA BRANDAO ARMELAU;123;CIEP GENERAL AUGUSTO CESAR SANDINO;PRACA OTACILIO PEDRO VASCO S/N;RIO DE JANEIRO;23;-228.350.246;-4.341.533.889.999.990
AMANDA BRANDAO ARMELAU;123;CIEP OSWALDO ARANHA;RUA PRINCESA LEOPOLDINA S/N;RIO DE JANEIRO;30;-228.719.104;-434.205.702
AMANDA BRANDAO ARMELAU;123;CIEP POETA FERNANDO PESSOA;RUA SILVESTRE FILIPPI S/N;RIO DE JANEIRO;17;-22.829.494;-434.185.245
AMANDA BRANDAO ARMELAU;123;CIEP THOMAS JEFFERSON;ESTRADA DO ENGENHO NOVO S/N;RIO DE JANEIRO;46;-228.666.383;-434.255.577
AMANDA BRANDAO ARMELAU;123;COLEGIO JAIR AVILLEZ;RUA MARECHAL ABREU LIMA 291;RIO DE JANEIRO;7;-228.715.779;-43.430.453
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL ABRAHAM LINCOLN;ESTRADA MARECHAL ALENCASTRO S/N;RIO DE JANEIRO;8;-228.288.962;-434.001.167
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL ALEXANDRE FARAH;PRACA VICENTE DE OLIVEIRA E SILVA 214;RIO DE JANEIRO;28;-228.368.059;-433.969.919
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL ALVARO ALVIM;RUA TEMISTOCLES SAVIO S/N;RIO DE JANEIRO;13;-22.865.982;-434.181.838
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL ANTENOR NASCENTES;RUA ROMEU CASAGRANDE 37;RIO DE JANEIRO;15;-228.316.549;-434.052.551
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL ANTONIO MACEO;RUA BANISTERIA, S/N;RIO DE JANEIRO;12;-228.370.385;-434.085.822
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL BARONESA DE SAAVEDRA;RUA MARECHAL BIBIANO COSTALAT S/N;RIO DE JANEIRO;24;-228.717.661;-434.324.327
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL CLAUDIO GANNS;RUA JAGUARA 203;RIO DE JANEIRO;15;-228.273.226;-434.164.855
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL COELHO NETO;RUA UMBUZEIRO 455;RIO DE JANEIRO;13;-22.837.422;-433.992.149
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL CORYNTHO DA FONSECA;RUA URUQUE S/N;RIO DE JANEIRO;50;-228.590.347;-434.440.427
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL COSTA DO MARFIM;RUA PEDRO NAVA S/N BATAM;RIO DE JANEIRO;34;-228.647.998;-434.250.327
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL CYRO MONTEIRO;RUA ANTURIO 31;RIO DE JANEIRO;13;-22.827.041;-434.033.051
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL ENGENHEIRO LAFAYETTE DE ANDRADA;AV. DUQUE DE CAXIAS 170;RIO DE JANEIRO;12;-228.562.929;-433.866.057
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL GUILHERME TELL;RUA ROMEU CASAGRANDE S/N;RIO DE JANEIRO;11;-228.315.165;-434.057.693
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL NARBAL FONTES;RUA UMBUZEIRO 455;RIO DE JANEIRO;19;-228.368.538;-433.990.298
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL NORONHA SANTOS;RUA UMBUZEIRO,455;RIO DE JANEIRO;5;-228.368.949;-433.989.677
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL PARAIBA;ESTRADA MARECHAL ALENCASTRO 4035;RIO DE JANEIRO;27;-228.265.215;-434.028.316
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL PRESIDENTE ROOSEVELT;RUA MARECHAL FALCAO DA FROTA S/N;RIO DE JANEIRO;42;-228.702.458;-434.389.863
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL PROFESSOR IVAN ROCCO CONSTANTE MARCHI;ESTRADA DE GERICINO S/N PRO MORAR;RIO DE JANEIRO;8;-228.535.131;-433.957.637
AMANDA BRANDAO ARMELAU;123;ESCOLA MUNICIPAL SENADOR CAMARA;RUA OLINDA 57;RIO DE JANEIRO;27;-228.675.348;-434.300.268
AMANDA BRANDAO ARMELAU;123;ETE - MARIA MERCEDES MENDES TEIXEIRA - FAETEC;ESTRADA MARECHAL ALENCASTRO,PRAÇA 5, QUADRA B,;RIO DE JANEIRO;10;-228.369.723;-433.971.161
AMANDA BRANDAO ARMELAU;123;PAROQUIA SAO JOSE DOS OPERARIOS;RUA BARAO DO TRIUNFO 393;RIO DE JANEIRO;22;-228.703.914;-434.364.968
AMANDA BRANDAO ARMELAU;125;CENTRO EDUCACIONAL SANTA MONICA;RUA PRIMEIRA, 848;RIO DE JANEIRO;23;-229.248.735;-436.814.039
AMANDA BRANDAO ARMELAU;125;CIEP JOÃO XXIII;AV. JOÃO XXIII, S/N;RIO DE JANEIRO;43;-229.069.333;-4.370.386.329.999.990
AMANDA BRANDAO ARMELAU;125;COLEGIO APOLO 12;RUA GENERAL OLIMPIO, 181;RIO DE JANEIRO;26;-229.213.359;-436.812.638
AMANDA BRANDAO ARMELAU;125;COLÉGIO ESTADUAL ERICH WALTER HEINE;RUA MANOEL LOURENÇO DOS SANTOS, S/N;RIO DE JANEIRO;8;-22.904.623;-437.015.578
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL ANDRE VIDAL DE NEGREIROS;RUA FELIPE CARDOSO, 750, FUNDOS;RIO DE JANEIRO;39;-229.214.535;-436.805.832
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL ESPECIAL DOUTOR HELIO PELEGRINO;RUA FELIPE CARDOSO, 750;RIO DE JANEIRO;17;-229.209.265;-436.808.117
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL FERNANDO AZEVEDO;RUA DAS PALMEIRAS IMPERIAIS, S/N;RIO DE JANEIRO;26;-229.230.197;-436.923.121
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL JAPÃO;RETA DO RIO GRANDE, S/N;RIO DE JANEIRO;30;-2.290.262;-437.183.135
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL JOAQUIM DA SILVA GOMES;RUA CAPITÃO LOPES DORNELES, S/N;RIO DE JANEIRO;26;-229.103.072;-436.881.919
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL JOSE DE MELLO;PRACA DA LEGALIDADE, S/N;RIO DE JANEIRO;8;-229.229.597;-436.891.499
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL LIBERDADE;AV JOÃO XXIII, RUA TREZE, S/N;RIO DE JANEIRO;33;-229.033.644;-437.083.075
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL LOURDES DE LIMA ROCHA;ESTRADA ATERRADO DO LEME, 3309;RIO DE JANEIRO;3;-229.023.365;-436.551.034
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL MARIA DE JESUS OLIVEIRA;RUA CONCEIÇÃO DE IPANEMA, S/N;RIO DE JANEIRO;13;-229.044.919;-436.718.972
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL MERALINA DE CASTRO;RUA CRAVOLANDIA, S/N, LOTE 2;RIO DE JANEIRO;17;-229.073.371;-436.817.883
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PESTALOZZI;RUA DOM PEDRO I S/N;RIO DE JANEIRO;31;-229.156.745;-436.798.095
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PONTE DOS JESUITAS;PRAÇA DOS JESUITAS S/N;RIO DE JANEIRO;31;-228.734.761;-436.765.778
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PREFEITO JOÃO CARLOS VITAL;RUA FERREIRA NOBRE, 176;RIO DE JANEIRO;7;-229.239.679;-436.912.341
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PRINCESA ISABEL;RUA DAS PALMEIRAS IMPERIAIS, 135;RIO DE JANEIRO;40;-229.230.367;-43.695.077
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PROFESSOR COQUEIRO;RUA FELIPE CARDOSO 750 FUNDOS;RIO DE JANEIRO;22;-229.221.438;-436.808.754
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PROFESSOR DARCY ARAUJO DE MIRANDA;RUA SEVERIANO DAS CHAGAS S/N;RIO DE JANEIRO;16;-229.161.206;-436.796.547
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PROFESSORA DIONE DE FREITAS FELISBERTO DE CARVALHO;AV PADRE GUILHERME DECAMINADA, S/N;RIO DE JANEIRO;24;-22.910.435;-4.368.770.629.999.990
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PROFESSORA EULÁLIA RODRIGUES DE OLIVEIRA VIEIRA;RUA PRADO JUNIOR 662;RIO DE JANEIRO;5;-229.214.081;-437.002.004
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PROFESSORA MARIA HELENA ALVES PORTILHO;AV. JOAO XXIII, RUA RAY CONIFF(ANT R OITO), LT 230, CONJUNTO ALVORADA;RIO DE JANEIRO;22;-2.289.949;-437.227.003
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PROFESSORA MARIA SANTIAGO;RUA FELIPE CARDOSO S/N - PARQUE MANGUEIRAS;RIO DE JANEIRO;18;-229.320.022;-436.726.639
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL PROFESSORA ZELIA CAROLINA DA SILVA PINHO;RUA FELIPE CARDOSO, 1536;RIO DE JANEIRO;21;-229.281.233;-436.772.153
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL ROBERTO CIVITA;ESTRADA DOS PALMARES, 4603;RIO DE JANEIRO;11;-228.847.892;-436.668.507
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL SINDICALISTA CHICO MENDES;AV. JOAO XXIII S/N;RIO DE JANEIRO;28;-229.071.275;-437.029.197
AMANDA BRANDAO ARMELAU;125;ESCOLA MUNICIPAL SOCRATES GALVEAS;RUA DO IMPÉRIO, 900;RIO DE JANEIRO;29;-229.181.995;-436.935.293
AMANDA BRANDAO ARMELAU;125;ESCOLA TÉCNICA ESTADUAL SANTA CRUZ - ETESC;LARGO DO BODEGAO, 46;RIO DE JANEIRO;21;-229.259.437;-436.920.966
AMANDA BRANDAO ARMELAU;125;ESPAÇO DE DESENVOLVIMENTO INFANTIL PROF ROSA MARIA ALVES DE OLIVEIRA;RUA ALVARO ARAUJO SALAZAR S/N - CONJ. JOAO XXIII;RIO DE JANEIRO;23;-229.081.076;-432.678.442
AMANDA BRANDAO ARMELAU;125;SESI / SENAI;RUA FELIPE CARDOSO, 713;RIO DE JANEIRO;30;-229.212.022;-436.801.556
AMANDA BRANDAO ARMELAU;161;CENTRO DE EDUCAÇÃO DE JOVENS E ADULTOS - CEJA/MARÉ;RUA PRAIA DE INHAÚMA, 200;RIO DE JANEIRO;31;-228.667.543;-432.422.927
AMANDA BRANDAO ARMELAU;161;CIEP ELIS REGINA;ATERRO MARÉ I;RIO DE JANEIRO;7;-228.579.033;-4.324.049.189.999.990
AMANDA BRANDAO ARMELAU;161;CIEP HELIO SMIDT;RUA TANCREDO NEVES S/N - NOVA HOLANDA;RIO DE JANEIRO;21;-228.523.905;-432.406.175
AMANDA BRANDAO ARMELAU;161;CIEP SAMORA MACHEL;ATERRO MARE I S/N;RIO DE JANEIRO;14;-228.579.216;-432.414.283
AMANDA BRANDAO ARMELAU;161;CIEP VICENTE MARIANO;PRAIA DE INHAÚMA, S/N, MARÉ;RIO DE JANEIRO;31;-228.609.763;-432.376.571
AMANDA BRANDAO ARMELAU;161;CIEP YURI GAGARIN;AV. DOS CAMPEOES S/N;RIO DE JANEIRO;47;-228.550.423;-432.541.279
AMANDA BRANDAO ARMELAU;161;CLUBE DOS TAIFEIROS DA AERONAUTICA;RUA AGUIAR MOREIRA 555;RIO DE JANEIRO;14;-228.686.866;-432.529.771
AMANDA BRANDAO ARMELAU;161;ESCOLA MUNICIPAL BAHIA;RUA GUILHERME MAXWELL 243;RIO DE JANEIRO;61;-228.644.365;-432.473.118
AMANDA BRANDAO ARMELAU;161;ESCOLA MUNICIPAL CARLOS CHAGAS;AV. ROMERO ZANDER 420;RIO DE JANEIRO;23;-228.571.972;-432.553.411
AMANDA BRANDAO ARMELAU;161;ESCOLA MUNICIPAL LÊDO IVO;RUA PRAIA DE INHAUMA, 200;RIO DE JANEIRO;20;-228.663.298;-432.424.317
AMANDA BRANDAO ARMELAU;161;ESCOLA MUNICIPAL PEDRO LESSA;RUA ADAIL, 49, BONSUCESSO;RIO DE JANEIRO;26;-228.604.042;-432.544.021
AMANDA BRANDAO ARMELAU;161;ESCOLA MUNICIPAL PROF. PAULO FREIRE;AV. CANAL, VIA B 1, S/N, VILA DO PINHEIRO;RIO DE JANEIRO;23;-229.068.467;-431.728.965
AMANDA BRANDAO ARMELAU;161;ESCOLA MUNICIPAL PROFESSOR JOSUE DE CASTRO;RUA SEIS S/N VILA DO JOAO;RIO DE JANEIRO;33;-228.737.528;-432.406.033
AMANDA BRANDAO ARMELAU;161;ESCOLA MUNICIPAL TEOTONIO VILELA;RUA MANOEL FALCAO MARANHAO S/N;RIO DE JANEIRO;34;-228.761.348;-43.238.861
AMANDA BRANDAO ARMELAU;161;ESCOLA RUI BARBOSA;RUA AGUIAR MOREIRA 652;RIO DE JANEIRO;19;-228.679.343;-432.532.275
AMANDA BRANDAO ARMELAU;161;SOCIEDADE UNIVERSITARIA AUGUSTO MOTA - SUAM/LUSO CARIOCA;AVENIDA PARIS 72;RIO DE JANEIRO;64;-228.671.521;-432.535.111
AMANDA BRANDAO ARMELAU;162;1ª IGREJA BATISTA RENOVADA DE PARADA DE LUCAS;RUA CARUNÁ, 139;RIO DE JANEIRO;11;-228.192.267;-4.329.748.190.000.000
AMANDA BRANDAO ARMELAU;162;BRAZ DE PINA COUNTRY CLUB;PRAÇA ANHANGÁ 112;RIO DE JANEIRO;14;-228.261.215;-432.858.092
AMANDA BRANDAO ARMELAU;162;CENTRO CÍVICO LEOPOLDINENSE;RUA QUITO 62;RIO DE JANEIRO;13;-22.84;-432.719.444
AMANDA BRANDAO ARMELAU;162;CIEP LEONEL DE MOURA BRIZOLA;AVENIDA BRASIL, 8666;RIO DE JANEIRO;18;-228.389.568;-4.325.329.199.999.990
AMANDA BRANDAO ARMELAU;162;COLÉGIO ESTADUAL HEITOR LIRA;RUA CUBA 320;RIO DE JANEIRO;27;-228.298.891;-43.275.305
AMANDA BRANDAO ARMELAU;162;COLÉGIO FRANKLIN CARNEIRO;RUA TIBOIM 28;RIO DE JANEIRO;9;-228.308.561;-432.853.752
AMANDA BRANDAO ARMELAU;162;COLÉGIO SÃO FABIANO;AVENIDA LUSITÂNIA 169;RIO DE JANEIRO;19;-22.830.256;-432.805.997
AMANDA BRANDAO ARMELAU;162;COLÉGIO VIP - BRÁS DE PINA;AVENIDA ARAPOGI, 444;RIO DE JANEIRO;3;-228.284.159;-432.877.971
AMANDA BRANDAO ARMELAU;162;COLÉGIO-CURSO GEL;RUA CARDOSO DE MORAIS 528;RIO DE JANEIRO;20;-228.554.942;-432.586.297
AMANDA BRANDAO ARMELAU;162;COMUNIDADE DE EMAUS DO BRASIL;AV. DAS MISSOES 18;RIO DE JANEIRO;6;-228.154.129;-432.869.715
AMANDA BRANDAO ARMELAU;162;DETRAN/RJ - PARADA DE LUCAS;AV. BRASIL, 13350;RIO DE JANEIRO;25;-228.134.735;-432.910.007
AMANDA BRANDAO ARMELAU;162;E. M. ANÍBAL FREIRE;RUA PROFESSOR PLÍNIO BASTOS, 631;RIO DE JANEIRO;20;-228.421.713;-432.681.346
AMANDA BRANDAO ARMELAU;162;E. M. ARIOSTO ESPINHEIRA;PRAÇA CAÍ S/N;RIO DE JANEIRO;25;-228.340.625;-432.711.702
AMANDA BRANDAO ARMELAU;162;E. M. BERLIM;PRAÇA RAMOS FIGUEIRA 20;RIO DE JANEIRO;30;-228.478.571;-432.615.576
AMANDA BRANDAO ARMELAU;162;E. M. BRASIL;RUA ANDRÉ AZEVEDO 87;RIO DE JANEIRO;41;-228.427.524;-432.605.177
AMANDA BRANDAO ARMELAU;162;E. M. CIENTISTA MÁRIO KROEFF;RUA DO COUTO, 91;RIO DE JANEIRO;25;-228.389.403;-4.327.525.910.000.000
AMANDA BRANDAO ARMELAU;162;E. M. CLOTILDE GUIMARÃES;AV. POSTAL, 49;RIO DE JANEIRO;8;-228.529.457;-4.324.810.069.999.990
AMANDA BRANDAO ARMELAU;162;E. M. CONDE DE AGROLONGO;RUA CONDE DE AGROLONGO, 1246;RIO DE JANEIRO;37;-228.375.135;-432.799.708
AMANDA BRANDAO ARMELAU;162;E. M. DILERMANDO CRUZ;AV. TEIXEIRA DE CASTRO, 407;RIO DE JANEIRO;26;-228.539.498;-432.526.103
AMANDA BRANDAO ARMELAU;162;E. M. EDMUNDO LINS;RUA NOSSA SENHORA DAS GRAÇAS 699 FUNDOS;RIO DE JANEIRO;10;-228.499.215;-432.564.746
AMANDA BRANDAO ARMELAU;162;E. M. FRANCISCO JOSÉ OLIVEIRA VIANA;AV. SCHULTZ WENCK S/N;RIO DE JANEIRO;10;-228.247.345;-432.913.641
AMANDA BRANDAO ARMELAU;162;E. M. JOÃO DE DEUS;PRAÇA ALMEIDA GARRET S/N;RIO DE JANEIRO;12;-22.830.032;-432.824.724
AMANDA BRANDAO ARMELAU;162;E. M. MINISTRO AFRÂNIO COSTA;PRAÇA ESPLANADA S/N;RIO DE JANEIRO;12;-228.252.482;-432.787.017
AMANDA BRANDAO ARMELAU;162;E. M. NERVAL DE GOUVEIA;ESTRADA DO ENGENHO DA PEDRA, 528;RIO DE JANEIRO;26;-228.449.791;-432.540.859
AMANDA BRANDAO ARMELAU;162;E. M. PRESIDENTE EURICO DUTRA;RUA SANTA ENGRÁCIA, S/N;RIO DE JANEIRO;23;-228.390.991;-432.680.924
AMANDA BRANDAO ARMELAU;162;E. M. RORAIMA;ESTRADA PORTO VELHO, S/N;RIO DE JANEIRO;26;-228.234.236;-4.329.543.169.999.990
AMANDA BRANDAO ARMELAU;162;E. M. SAO PAULO;RUA TAILANDIA 160;RIO DE JANEIRO;44;-228.271.586;-432.877.276
AMANDA BRANDAO ARMELAU;162;E. M. SUIÇA;PRAÇA ANTÔNIO JOSÉ DE ALMEIDA S/N;RIO DE JANEIRO;13;-229.068.467;-431.728.965
